customer_id,registration_date,age,gender,city,annual_income,segment,lifetime_value,total_orders,avg_order_value,preferred_channel,sessions_per_month,churn_probability,satisfaction_score,days_since_last_purchase
CUST000001,2023-03-30,37.0,Female,Pune,100000.0,Regular,16826.76,12,3365.35,Email,18,0.1308,5,21
CUST000002,2019-07-15,38.0,Female,Delhi,100000.0,At-Risk,4909.5,13,701.36,Social Media,5,0.1201,4,143
CUST000003,2019-08-14,45.0,Male,Mumbai,,Regular,19373.45,8,1937.35,Email,10,0.3879,4,18
CUST000004,2020-04-20,35.0,Female,Hyderabad,100000.0,Occasional,3655.28,7,609.21,Website,21,0.3382,4,23
CUST000005,2020-09-26,20.0,Female,Chennai,126000.0,New,9783.62,7,1222.95,Website,12,0.3738,1,1
CUST000006,2023-05-03,35.0,Female,Mumbai,,New,12714.75,7,1155.89,Website,14,0.2941,2,11
CUST000007,2021-12-19,18.0,Male,Delhi,100000.0,Occasional,5955.84,8,1191.17,Mobile App,16,0.323,3,47
CUST000008,2023-05-08,27.0,Male,Delhi,100000.0,Regular,13913.5,7,1264.86,Email,6,0.2655,5,30
CUST000009,2019-05-31,33.0,Female,Mumbai,100000.0,Regular,15216.65,10,1690.74,In-Store,12,0.5922,,2
CUST000010,2020-01-24,40.0,Other,Bangalore,100000.0,Premium,26530.08,14,2210.84,Website,33,0.0706,5,52
CUST000011,2022-03-30,51.0,Female,Mumbai,100000.0,Occasional,9400.63,9,1342.95,In-Store,20,0.4552,4,25
CUST000012,2023-10-12,42.0,Male,Hyderabad,126000.0,Occasional,4010.46,11,501.31,Mobile App,12,0.273,4,14
CUST000013,2021-08-20,40.0,Male,Bangalore,101000.0,Premium,82319.71,19,10289.96,In-Store,30,0.3321,5,19
CUST000014,2019-02-10,18.0,Male,Bangalore,100000.0,Occasional,4720.91,10,1180.23,In-Store,14,0.2722,5,50
CUST000015,2021-01-18,41.0,Female,Bangalore,100000.0,Regular,22773.84,7,2846.73,Website,12,0.4282,4,16
CUST000016,2023-09-28,53.0,Female,Bangalore,100000.0,Regular,8321.19,9,1188.74,Website,16,0.3158,5,21
CUST000017,2019-11-07,25.0,Male,Bangalore,100000.0,Regular,21178.65,8,4235.73,Social Media,14,0.3915,5,46
CUST000018,2021-12-15,41.0,Male,Hyderabad,100000.0,Regular,22503.06,8,2500.34,In-Store,15,0.3743,3,33
CUST000019,2023-05-10,18.0,Male,Bangalore,100000.0,Occasional,8135.74,9,2711.91,Mobile App,13,0.0599,5,5
CUST000020,2022-02-06,20.0,Male,Chennai,,Premium,88338.37,15,12619.77,Mobile App,45,0.3483,4,38
CUST000021,2020-12-12,35.0,Female,Chennai,100000.0,New,14483.18,13,2413.86,Email,13,0.544,5,27
CUST000022,2023-11-15,,Male,Delhi,100000.0,Regular,9687.08,14,1383.87,Mobile App,22,0.1366,4,16
CUST000023,2020-10-19,49.0,Male,Mumbai,100000.0,Regular,22040.21,6,2204.02,In-Store,12,0.1838,2,20
CUST000024,2020-07-15,51.0,Other,Delhi,151000.0,Regular,29243.87,8,4177.7,Social Media,17,0.1254,5,4
CUST000025,2023-01-12,67.0,Male,Kolkata,111000.0,New,13244.46,7,1324.45,Mobile App,13,0.2852,4,35
CUST000026,2022-07-26,36.0,Male,Kolkata,100000.0,Regular,18277.34,7,1827.73,Mobile App,10,0.2251,5,14
CUST000027,2019-08-23,,Female,Pune,100000.0,Occasional,6766.73,13,845.84,Social Media,9,0.3447,4,59
CUST000028,2019-05-01,46.0,Male,Hyderabad,100000.0,At-Risk,1784.65,11,297.44,Mobile App,4,0.3786,5,192
CUST000029,2021-10-13,40.0,Female,Delhi,100000.0,Regular,24340.4,8,2028.37,In-Store,13,0.1298,5,18
CUST000030,2020-07-19,45.0,Female,Kolkata,100000.0,Occasional,7057.87,8,1008.27,Website,18,0.1955,2,37
CUST000031,2019-02-16,42.0,Male,Kolkata,100000.0,Regular,18721.82,9,3120.3,Mobile App,10,0.0679,4,3
CUST000032,2022-12-27,28.0,Male,Hyderabad,126000.0,Regular,22583.4,4,2822.93,In-Store,20,0.3149,5,17
CUST000033,2023-09-03,57.0,Male,Bangalore,100000.0,Regular,16834.36,9,2404.91,In-Store,22,0.0838,2,23
CUST000034,2022-03-10,54.0,Female,Chennai,100000.0,Occasional,6428.43,8,535.7,Social Media,16,0.1781,1,50
CUST000035,2019-05-03,38.0,Male,Hyderabad,100000.0,Premium,86189.96,17,8619.0,Mobile App,39,0.4339,5,17
CUST000036,2021-04-15,31.0,Female,Delhi,100000.0,Regular,13223.13,8,2203.86,Mobile App,11,0.445,3,6
CUST000037,2021-05-28,33.0,Male,Kolkata,100000.0,Regular,12030.29,10,1336.7,In-Store,9,0.5758,,9
CUST000038,2019-01-20,36.0,Male,Kolkata,100000.0,New,7572.53,5,946.57,Website,11,0.1792,5,48
CUST000039,2023-11-27,58.0,Female,Hyderabad,100000.0,New,9279.39,11,927.94,In-Store,21,0.3014,4,54
CUST000040,2022-12-13,30.0,Female,Chennai,100000.0,Premium,53195.82,14,4432.99,Website,75,0.1293,4,27
CUST000041,2019-01-19,42.0,Male,Kolkata,100000.0,Occasional,7949.37,9,1324.9,Mobile App,18,0.4623,3,28
CUST000042,2019-11-05,22.0,Female,Chennai,174000.0,Premium,43651.56,23,4365.16,In-Store,63,0.3129,4,16
CUST000043,2020-05-15,,Female,Hyderabad,109000.0,Occasional,6909.84,8,1151.64,Mobile App,12,0.5615,5,1
CUST000044,2019-09-20,33.0,Female,Chennai,100000.0,Regular,8384.14,5,1197.73,In-Store,17,0.4338,2,42
CUST000045,2021-12-08,32.0,Female,Bangalore,100000.0,Regular,11470.97,10,1433.87,Mobile App,10,0.1812,4,39
CUST000046,2022-01-05,36.0,Female,Mumbai,100000.0,Premium,72113.71,20,6555.79,Social Media,57,0.2316,4,16
CUST000047,2020-11-01,46.0,Female,Chennai,100000.0,Occasional,8820.51,4,980.06,Email,27,0.5419,4,29
CUST000048,2023-04-29,19.0,Male,Bangalore,100000.0,Occasional,4463.07,9,743.85,Email,17,0.3555,4,46
CUST000049,2022-12-04,18.0,Female,Pune,100000.0,Occasional,4683.72,9,520.41,Social Media,20,0.1017,5,51
CUST000050,2023-06-28,42.0,Female,Kolkata,100000.0,Occasional,7867.48,6,715.23,Email,13,0.3239,,22
CUST000051,2022-04-12,30.0,Male,Hyderabad,100000.0,Occasional,7681.07,11,1280.18,Website,17,0.1028,1,2
CUST000052,2022-05-28,62.0,Female,Pune,101000.0,New,12337.29,5,771.08,Email,12,0.6329,5,48
CUST000053,2023-01-14,61.0,Male,Mumbai,100000.0,Regular,17556.39,7,2508.06,Email,13,0.4256,2,5
CUST000054,2021-03-07,27.0,Male,Bangalore,100000.0,Occasional,6969.66,11,580.81,Website,22,0.4251,5,41
CUST000055,2023-03-12,32.0,Female,Delhi,,Premium,70836.43,22,11806.07,Social Media,39,0.5233,3,42
CUST000056,2022-11-04,43.0,Female,Delhi,131000.0,At-Risk,2189.34,5,547.33,Website,5,0.2241,4,188
CUST000057,2021-07-09,31.0,Female,Kolkata,100000.0,At-Risk,5808.26,7,528.02,Website,4,0.3784,3,264
CUST000058,2022-03-06,42.0,Male,Hyderabad,100000.0,Regular,19966.88,10,1331.13,Website,17,0.3207,4,8
CUST000059,2023-04-30,23.0,Male,Kolkata,100000.0,Regular,17798.41,12,2542.63,In-Store,21,0.496,4,2
CUST000060,2020-05-20,38.0,Male,Pune,100000.0,Occasional,6309.33,7,788.67,Email,18,0.4703,5,27
CUST000061,2020-03-28,35.0,Male,Hyderabad,119000.0,Occasional,8453.51,7,1056.69,Social Media,12,0.3478,,43
CUST000062,2023-05-29,37.0,Male,Hyderabad,100000.0,Premium,38218.46,11,3474.41,In-Store,36,0.2538,3,1
CUST000063,2022-02-13,34.0,Female,Delhi,100000.0,Regular,29665.66,7,7416.41,Mobile App,15,0.2187,5,10
CUST000064,2021-03-09,25.0,Female,Delhi,231000.0,Premium,69563.97,16,8695.5,In-Store,54,0.2038,4,52
CUST000065,2020-02-28,21.0,Male,Delhi,,Premium,83520.11,17,13920.02,Social Media,51,0.3886,5,1
CUST000066,2022-10-28,18.0,Other,Chennai,100000.0,Regular,15450.17,5,1404.56,Mobile App,13,0.2552,,7
CUST000067,2020-08-20,18.0,Male,Hyderabad,100000.0,Occasional,4367.29,5,397.03,Social Media,11,0.2137,4,47
CUST000068,2021-02-11,,Male,Chennai,100000.0,Premium,46117.59,16,5764.7,Website,36,0.2309,1,10
CUST000069,2021-12-10,41.0,Male,Bangalore,111000.0,Occasional,7624.02,14,762.4,In-Store,15,0.3454,3,20
CUST000070,2021-05-16,41.0,Female,Chennai,100000.0,Premium,36355.42,16,7271.08,Website,33,0.7118,4,57
CUST000071,2022-07-14,31.0,Female,Bangalore,100000.0,Occasional,3588.59,9,299.05,Social Media,9,0.2068,4,52
CUST000072,2023-10-12,35.0,Male,Bangalore,100000.0,Premium,66780.44,19,4770.03,Email,45,0.2334,5,52
CUST000073,2020-08-16,30.0,Female,Bangalore,100000.0,Occasional,3497.6,9,218.6,In-Store,16,0.3911,4,28
CUST000074,2019-06-14,,Female,Hyderabad,100000.0,New,8325.63,7,520.35,Social Media,23,0.0681,1,11
CUST000075,2023-12-06,49.0,Male,Bangalore,100000.0,New,10000.05,6,1111.12,Website,12,0.4504,4,49
CUST000076,2021-01-03,34.0,Female,Mumbai,100000.0,New,9516.75,6,951.68,In-Store,23,0.2562,5,42
CUST000077,2020-06-26,29.0,Female,Delhi,100000.0,Regular,23559.33,4,1812.26,Email,17,0.5232,5,25
CUST000078,2022-06-03,20.0,Male,Mumbai,100000.0,Occasional,9848.28,6,2462.07,Email,11,0.2615,4,4
CUST000079,2023-10-28,53.0,Female,Delhi,100000.0,Occasional,4997.73,8,416.48,Website,16,0.5001,5,36
CUST000080,2023-06-04,22.0,Female,Chennai,100000.0,Regular,11027.17,5,1002.47,In-Store,14,0.0551,5,50
CUST000081,2023-05-13,36.0,Male,Bangalore,100000.0,Occasional,8418.76,4,1202.68,Email,16,0.2021,1,55
CUST000082,2020-10-06,18.0,Male,Bangalore,100000.0,Regular,23811.1,6,2381.11,Email,10,0.2203,4,1
CUST000083,2020-08-31,36.0,Female,Bangalore,100000.0,Regular,11847.44,7,740.47,Mobile App,12,0.1781,5,46
CUST000084,2019-02-28,38.0,Male,Kolkata,100000.0,Premium,93781.05,19,15630.18,Mobile App,45,0.2227,,27
CUST000085,2020-09-25,31.0,Male,Chennai,100000.0,Regular,24825.43,7,4137.57,Website,10,0.4158,1,25
CUST000086,2021-08-12,47.0,Female,Hyderabad,100000.0,Regular,20128.74,6,1437.77,Social Media,13,0.081,5,34
CUST000087,2019-05-29,,Male,Delhi,104000.0,Regular,17851.89,6,2550.27,Email,11,0.2188,5,57
CUST000088,2022-03-21,18.0,Female,Chennai,100000.0,New,9713.1,10,747.16,Mobile App,18,0.4013,5,49
CUST000089,2021-07-26,36.0,Male,Bangalore,100000.0,Occasional,6734.65,6,962.09,In-Store,13,0.2132,5,53
CUST000090,2022-04-14,30.0,Male,Bangalore,100000.0,Regular,9605.91,11,1600.98,Social Media,11,0.3097,3,4
CUST000091,2019-01-14,24.0,Male,Pune,100000.0,Occasional,3207.96,7,458.28,Email,13,0.1461,3,16
