date,store,sales,transactions,avg_basket,foot_traffic,temperature,is_holiday
2022-01-01,Store_A,108944.66,397.0,1143.67,252.0,15.0,1
2022-01-02,Store_A,133005.46,324.0,819.47,668.0,23.4,1
2022-01-03,Store_A,124764.37,342.0,467.62,1647.0,21.4,0
2022-01-04,Store_A,122233.16,478.0,1219.16,479.0,25.6,0
2022-01-05,Store_A,109814.05,266.0,548.92,1473.0,23.9,0
2022-01-06,Store_A,109782.54,249.0,367.26,397.0,22.2,0
2022-01-07,Store_A,100648.88,212.0,1447.57,109.0,13.7,0
2022-01-08,Store_A,124773.81,366.0,1048.21,976.0,25.8,1
2022-01-09,Store_A,126467.06,623.0,1319.87,953.0,15.5,1
2022-01-10,Store_A,131485.5,398.0,1170.66,1431.0,21.0,0
2022-01-11,Store_A,117926.17,374.0,1245.38,1046.0,22.1,0
2022-01-12,Store_A,114630.78,265.0,1358.81,1000.0,27.4,0
2022-01-13,Store_A,101585.97,238.0,1491.86,862.0,23.6,0
2022-01-14,Store_A,116288.46,420.0,1000.12,1619.0,19.8,0
2022-01-15,Store_A,111624.01,255.0,1384.82,1135.0,25.9,1
2022-01-16,Store_A,129019.87,549.0,1302.35,1089.0,18.4,1
2022-01-17,Store_A,128558.5,259.0,781.17,1341.0,21.3,0
2022-01-18,Store_A,116245.14,387.0,717.49,1644.0,23.1,0
2022-01-19,Store_A,110408.45,396.0,655.84,1243.0,24.0,0
2022-01-20,Store_A,112533.06,227.0,832.76,608.0,21.1,0
2022-01-21,Store_A,107529.12,250.0,657.8,1225.0,25.1,0
2022-01-22,Store_A,118047.52,317.0,1175.1,472.0,27.8,1
2022-01-23,Store_A,133163.53,599.0,1328.9,1040.0,26.7,1
2022-01-24,Store_A,138804.95,520.0,398.19,636.0,23.4,0
2022-01-25,Store_A,131668.36,266.0,1035.83,301.0,31.0,0
2022-01-26,Store_A,118283.51,236.0,1482.75,336.0,27.9,0
2022-01-27,Store_A,114066.23,321.0,1319.67,1195.0,27.8,0
2022-01-28,Store_A,116082.82,296.0,939.62,1207.0,26.7,0
2022-01-29,Store_A,118780.72,273.0,1044.22,1319.0,24.8,1
2022-01-30,Store_A,135419.39,399.0,1326.22,1440.0,29.1,1
2022-01-31,Store_A,130509.15,281.0,843.87,1555.0,29.3,0
2022-02-01,Store_A,134150.51,428.0,1388.05,1616.0,26.4,0
2022-02-02,Store_A,234167.59,485.0,426.96,1706.0,34.5,0
2022-02-03,Store_A,103325.4,330.0,699.03,252.0,26.9,0
2022-02-04,Store_A,123615.47,585.0,539.52,294.0,33.0,0
2022-02-05,Store_A,124336.74,266.0,1086.97,169.0,22.2,1
2022-02-06,Store_A,133058.46,656.0,405.27,1661.0,22.4,1
2022-02-07,Store_A,144406.1,525.0,908.23,257.0,28.2,0
2022-02-08,Store_A,132340.71,333.0,998.93,1561.0,25.9,0
2022-02-09,Store_A,127192.09,270.0,449.53,1221.0,32.2,0
2022-02-10,Store_A,332285.02,1121.0,1011.58,908.0,32.5,0
2022-02-11,Store_A,125121.89,283.0,375.41,1645.0,29.9,0
2022-02-12,Store_A,130863.58,333.0,877.56,1843.0,30.9,1
2022-02-13,Store_A,141195.49,438.0,1284.54,1884.0,34.5,1
2022-02-14,Store_A,140413.45,392.0,982.34,204.0,29.1,0
2022-02-15,Store_A,144838.08,458.0,325.91,1742.0,30.5,0
2022-02-16,Store_A,136724.01,284.0,591.63,546.0,30.9,0
2022-02-17,Store_A,,,,,30.4,0
2022-02-18,Store_A,128098.42,442.0,1027.54,639.0,30.2,0
2022-02-19,Store_A,125908.94,309.0,1130.25,321.0,29.8,1
2022-02-20,Store_A,144004.83,375.0,501.44,1451.0,29.9,1
2022-02-21,Store_A,133573.32,523.0,726.29,1873.0,32.2,0
2022-02-22,Store_A,140066.33,448.0,963.29,752.0,33.5,0
2022-02-23,Store_A,123564.46,473.0,717.27,167.0,36.7,0
2022-02-24,Store_A,119869.38,458.0,1107.1,1375.0,30.7,0
2022-02-25,Store_A,122475.78,248.0,1107.26,1175.0,27.0,0
2022-02-26,Store_A,129863.84,347.0,1335.89,1728.0,34.2,1
2022-02-27,Store_A,139106.42,320.0,973.27,1630.0,28.8,1
2022-02-28,Store_A,143291.5,368.0,641.35,1402.0,37.9,0
2022-03-01,Store_A,138816.52,338.0,783.16,1399.0,36.5,0
2022-03-02,Store_A,131963.05,274.0,965.86,1431.0,33.5,0
2022-03-03,Store_A,134776.15,390.0,937.12,1908.0,29.6,0
2022-03-04,Store_A,121348.5,434.0,829.97,1559.0,28.4,0
2022-03-05,Store_A,136462.13,674.0,1081.49,353.0,30.7,1
2022-03-06,Store_A,149156.57,409.0,524.77,165.0,32.7,1
2022-03-07,Store_A,143194.35,506.0,1436.73,255.0,36.7,0
2022-03-08,Store_A,128563.08,391.0,353.47,816.0,34.6,0
2022-03-09,Store_A,120939.87,253.0,991.49,1409.0,35.0,0
2022-03-10,Store_A,113278.06,286.0,620.66,754.0,35.4,0
2022-03-11,Store_A,136874.23,282.0,666.99,1214.0,36.3,0
2022-03-12,Store_A,140661.49,363.0,1135.95,1573.0,35.3,1
2022-03-13,Store_A,150468.26,719.0,1098.53,443.0,32.7,1
2022-03-14,Store_A,154095.83,437.0,1454.77,1332.0,38.5,0
2022-03-15,Store_A,139373.19,483.0,505.6,899.0,31.2,0
2022-03-16,Store_A,145986.65,543.0,1461.68,1772.0,36.4,0
2022-03-17,Store_A,128933.57,271.0,456.34,163.0,32.3,0
2022-03-18,Store_A,128959.67,463.0,698.11,117.0,35.1,0
2022-03-19,Store_A,144602.54,324.0,1383.3,1533.0,36.7,1
2022-03-20,Store_A,151065.96,568.0,722.45,918.0,33.5,1
2022-03-21,Store_A,157144.65,375.0,1238.86,446.0,33.0,0
2022-03-22,Store_A,151494.41,548.0,1106.0,713.0,38.1,0
2022-03-23,Store_A,131959.11,284.0,1454.09,1512.0,30.0,1
2022-03-24,Store_A,129012.86,265.0,382.65,1557.0,32.0,0
2022-03-25,Store_A,125110.75,254.0,1293.3,289.0,33.1,0
2022-03-26,Store_A,129975.04,371.0,1097.79,1533.0,34.8,1
2022-03-27,Store_A,152801.71,551.0,1026.58,924.0,35.7,1
2022-03-28,Store_A,155744.48,678.0,835.52,1419.0,41.9,0
2022-03-29,Store_A,133129.11,274.0,683.94,141.0,31.0,0
2022-03-30,Store_A,130545.46,270.0,1199.66,722.0,37.9,0
2022-03-31,Store_A,128867.68,261.0,759.83,1587.0,41.0,0
2022-04-01,Store_A,131643.04,287.0,770.11,650.0,35.4,0
2022-04-02,Store_A,151204.76,491.0,402.84,752.0,33.2,1
2022-04-03,Store_A,144995.26,392.0,686.63,1868.0,37.8,1
2022-04-04,Store_A,149783.97,414.0,750.2,1940.0,31.1,0
